company_name,show_name,booth_no
Shiono Finesse Ltd.,Ingredients,1J-04
"Shionogi Pharma Co., Ltd.",Outsourcing,1E-20
"SHIRATORI PHARMACEUTICAL CO.,LTD.",Ingredients,2F-22
"SHOKA PHARMACY CO.,LTD.",Ingredients,2D-44
Shonan Health Innovation Park,Bio Pharma,3D-28
"SHOUGUANG FUKANG PHARMACEUTICAL CO.,LTD.",Ingredients,3C-35
"Shouguang Nuomeng Chemical Co., Ltd.",Ingredients,2K-34
SHREE GANESH REMEDIES LTD,Ingredients,1J-02
"Sichuan Elixir Pharmaceutical Co., Ltd.",Bio Pharma,3G-29
"Sichuan Qingmu Pharmaceutical Co., Ltd.",Outsourcing,1C-45
Sichuan Shifang Sangao Biochemical Industrial,Bio Pharma,3F-05
"Sichuan Tiandao Pharmaceutical Co.,Ltd",Ingredients,3B-34
"Sichuan Xieli Pharmaceutical Co., Ltd.",Ingredients,2K-17
"SINOBRIGHT IMPORT&EXPORT CO.,LTD.",Ingredients,3C-16
"Sinochem International Advanced Materials (Hebei) Co., Ltd.",Outsourcing,1B-48
SINOCHEM PHARMACEUTICAL CO LTD,Outsourcing,2B-26
Sinocompound Catalysts,Outsourcing,1B-42
"Sinoway Industrial Co., Ltd.",Ingredients,2D-34
"Sogo Pharmaceutical Co.,Ltd.",Ingredients,2G-37
Solara Active Pharma Sciences,Ingredients,1H-08
SOMU ORGANO-CHEM PVT. LTD.,Ingredients,2C-24
Soneas - Uquifa Group,Ingredients,2E-10
SPECTRUM INFO LLC,Ingredients,3A-10
"SPERA NEXUS, Inc",Ingredients,2F-36
"SPERA PHARMA, Inc.",Outsourcing,1A-41
"Standard Chem. & Pharm Co., Ltd.",Ingredients,2A-10
Sterling Pharma Solutions,Outsourcing,1D-35
Sumitomo Corporation,Ingredients,2F-04
Summit Pharmaceuticals International Corporation,Ingredients,2F-04
"SUNCHEM CO., LTD.",Outsourcing,1A-03
"SunFlare Co.,Ltd.",Outsourcing,1A-43
Supriya Lifescience Ltd.,Outsourcing,1A-04
"SUZHOU EVERFORTUNE CO., LTD.",Ingredients,1C-05
"Suzhou Highfine Biotech Co., Ltd",Ingredients,2J-23
Swati Spentose Pvt Ltd,Ingredients,2F-25
Symbiotec Pharmalab Pvt. Ltd,Ingredients,2A-08
Syngene International Ltd,Outsourcing,1G-36
SynSmart Rasayan Research Pvt Ltd,Outsourcing,1D-46
SYNTHIMED LABS,Ingredients,3C-41
"Taihei Chemical Industrial Co., Ltd.",Ingredients,3J-37
Taiwan Pharmaceutical Alliance,Ingredients,2J-04
TAPI Japan Ltd.,Ingredients,2D-04
"Tateyama Kasei Co.,Ltd.",Ingredients,1G-04
TCG LIFESCIENCES PRIVATE LIMITED,Outsourcing,1C-25
Testo K.K.,Bio Pharma,3E-27
The Chemical Society of Japan,Ingredients,3C-49
Thermo Fisher Scientific,Bio Pharma,3F-12
TIANJIN FOREVER RICH SCIENCE & TECHNOLOGY,Ingredients,3B-29
"TOKIWA PHYTOCHEMICAL CO.,LTD.",Outsourcing,3C-10
"Topharman Shanghai Co., Ltd.",Ingredients,2J-18
"TOSCO CO., LTD.",Ingredients,1F-02
"TOYOCHEM CO.,LTD",Bio Pharma,3H-22
TRIFARMA,Ingredients,IT-05
"Trustchem Co., Ltd.",Ingredients,2K-37
TSK Laboratory International Japan k. k.,Bio Pharma,3F-09
UAB INKOM EUROPE,Bio Pharma,3G-04
UBE Corporation,Ingredients,2E-22
Unchained Labs,Bio Pharma,3G-12
Usino Company Limited,Ingredients,2B-28
